,Artist,Song Title,Lyrics,Year,word_count
0,Ashanti,Foolish, murder inc ashanti see my days are cold without you but i am hurting while i am with you and though my heart can not take no more i keep on running back to you see my days are cold without you but i am hurting while i am with you and though my heart can not take no more i keep on running back to you baby i do not know why you are treating me so bad treat me so bad you said you love me no one above me and i was all you had and though my heart is beating for you i can not stop crying i do not know how i allow you to treat me this way and still i stay see my days are cold without you without you but i am hurting while i am with you and though my heart can not take no more i keep on running back to you keep on running back to you see my days are cold without you without you but i am hurting while i am with you and though my heart can not take no more i keep on running back to you baby i do not know why you want to do me wrong do me wrong see when i am home i am all alone and you are always gone always gone and boy you know i really love you i can not deny i can not see how you could bring me to so many tears after all these years see my days are cold without you my days yeah but i am hurting while i am with you and though my heart can not take no more no more no more i keep on running back to you see my days are cold without you without you but i am hurting while i am with you without you and though my heart can not take no more i keep on running back to you i keep on running back to you ooh i trusted you i trusted you so sad so sad what love will make you do all the things that we accept be the things that we regret to all of my ladies ladies feel me come on sing with me see when i get the strength to leave you always tell me that you need me and i am weak because i believe you and i am mad because i love you so i stop and think that maybe you can learn to appreciate me then it all remains the same that you are not never going to change never going to change never going to change see my days are cold without you my days are cold baby but i am hurting while i am with you and though my heart can not take no more no more no more i keep on running back to you see my days are cold without you without you but i am hurting while i am with you and though my heart can not take no more no more no more i keep on running back to you baby why you hurt me leave me and desert me boy i gave you all my heart and all you did was tear it up looking out my window knowing that i should go even when i pack my bags this something always holds me back,2002.0,578
1,Usher,U Don't Have To Call, yo after tonight do not leave your girl around me true playa for real ask my nigga pharrell uh come on that is how it is going down you smell it hah yeah you smell it hah yeah do not leave your girl around me true playa for real ask my nigga pharrell uh situations will arise in our lives but you got to be smart about it celebrations with the guys i sacrificed because i knew you could not sleep without it meanwhile i i loved you you were my girl you see i thought the world of you but you are still steady leaving baby you do not have to call it is okay girl because i am going to be alright tonight you do not have to call it is okay girl because i am going to be alright tonight aw girl your face is saying why tears in eyes should have been more smart about it should have cherished me listening to friends now it is the end and again no story can end without it damn right i loved you you were my girl you see i thought the world of you but you are still steady leaving baby you do not have to call it is okay girl because i am going to be alright tonight you do not have to call it is okay girl because i am going to be alright tonight going to boogie tonight because i am honestly too young of a guy to stay home waiting for love so tonight i am going to do what a single man does and that is party yeah oh yeah you do not have to call you do not going to call it is okay girl it is okay girl because i am going to be alright tonight ima be alright hah you do not have to call you are not going to call it is okay girl i am okay girl because i am going to be alright tonight tonight i am going out with my nigga oh yeah hah you do not have to call it is okay girl i am alright girl hah because i am going to be alright tonight i am alright going to boogie tonight because i am honestly too young of a guy to stay home waiting for love so tonight i am going to do what a single man does and that is party yeah yeah hah you do not have to call it is okay girl because i am going to be alright tonight ohohohoh oh you do not have to call hah it is okay girl it is okay i am going to be alright because i am going to be alright tonight oh oh oh oh yeah yeah yeah yeah yeah you do not have to call it is okay girl it is okay girl because i am going to be alright tonight sick and tired of being home i am going to have me some fun you do not have to call hey hey yeah it is okay girl it is okay it is okay it is okay it is alright because i am going to be alright tonight i am not waiting at home for you bye bye,2002.0,549
2,Musiq,halfcrazy, la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la never thought that we would ever be more than friends now i am all confused cause for you i have deeper feelings we both thought it was cool to cross the line and i was convinced it would be alright now things are strange nothinggg is the same and really i just want my friend back and my mind is gone half crazy cause i can not leave you alone oh can not get you out of my system and i am wondering if it is worth me holding on holding on said my mind is gone half crazy cause i can not leave you alone can not get you out of my system and i am wondering if it is worth me holding on yeah i would hate to walk away from you as if this never existed cause when we kissed the moment after i love that you different lately i going to watch what i say cause you take things personal nowadays you used to laugh now you get mad damn i just want my friend back oh oh oh oh oh yeah what happened to the one i used to know oh yeah yeah the one i used to laugh and joke with the one i used to tell all my secrets we used to chill and be down for whatever whenever together yeah and my mind is gone half crazy oh cause i can not leave you alone i am going half crazy baby and i am wondering if it is worth me oh holding on over you said my mind is gone half crazy yeah cause i can not leave you alone and i just do not know and i am wondering if it is worth me holding on said i just do not know what to do now we used to chill yeah we used to hang we used to do we used to do some many things together yeah yeah yeah yeah yeah oh oh yeah oh oh oh,2002.0,369
3,Nelly,Hot In Herre, it is hot in so hot in herre so hot in hot oh with a little bit of uh uh and a little bit of uh uh just a little bit of just a little bit of just a little bit of just a little bit of i was like good gracious ass is bodacious uhh flirtacious tryin to show patience i am waitin for the right time to shoot my steez you know waitin for the right time to flash them keys then uhh i am leavin please believe in ohh me and the rest of my heathens check it got it locked at the top of the fo seasons penthouse roof top birds i am feedin no deceivin nuttin up my sleeve and no teasin i need you to get up up on the dance floor give that man what he askin for cause i feel like bustin loose and i feel like touchin you uh uh and can not nobody stop the juice so baby tell me what is the use i said it is gettin hot in herre so hot so take off all your clothes i am gettin so hot i want to take my clothes off it is gettin hot in herre so hot so take off all your clothes i am gettin so hot i want to take my clothes off uh uh uh let it hang all out why you at the bar if you are not poppin the bottles c amon what good is all the fame if you are not fuckin the models i see you drivin sports cars are not hittin the throttle and i will be down to do a hundred top down and goggles got off the freeway exit 106 and parked it ash tray flip gate time to spark it gucci collar for dollar got out and walked it i spit game cause baby i can not talk it warm sweatin it is hot up in this joint vokal tanktop on at this point you with a winner so baby you can not lose i got secrets can not leave cancun so take it off like you are home alone you know dance in front your mirror while you are on the phone checkin your reflection and tellin your best friend like girl i think my butt gettin big it is gettin hot in herre so hot so take off all your clothes i am gettin so hot i want to take my clothes off it is gettin hot in herre so hot so take off all your clothes i am gettin so hot i want to take my clothes off uh uh uh let it hang all out let it hang all out mix a little bit of ah ah with a little bit of ah ah let it just fall out give a little bit of ah ah with a little bit of ah ah let it hang all out with a little bit of ah ah and a sprinkle of that ah ah let it just fall out i like it when ya ah ah girl baby make it ah ah stop pacin time wastin i got a friend with a pole in the basement what i am just kidding like jason oh unless you gon do it extra extra eh spread the news check it nelly took a trip from the lou to the neptunes came back with somethin thicker than fittin in sasoons say she got a thing about cuttin in restrooms ohh it is gettin hot in here so hot so take off all your clothes i am gettin so hot i want to take my clothes off it is gettin hot in here so hot so take off all your clothes i am gettin so hot i want to take my clothes off uh uh uh let it hang all out it is gettin hot in herre so hot so take off all your clothes i am gettin so hot i want to take my clothes off it is gettin hot in herre so hot so take off all your clothes i am gettin so hot i want to take my clothes off uh uh uh let it hang all out let it hang all out mix a little bit of ah ah with a little bit of ah ah let it just fall out give a little bit of ah ah with a little bit of ah ah let it hang all out with a little bit of ah ah and a sprinkle of that ah ah let it just fall out i like it when ya ah ah girl baby make it ah ah ohh,2002.0,788
4,Jaheim Featuring Next,Anything,yea oohyeahyeayeahyea you can have anything i got all of me right on the spot dadadadadadadada dadadadada you can have anything i own work my fingers all the way to the bone dadadadadadadada dadadadada now baby i do not want to be fictitious saying i can get you anything is ridiculous but anything you ask if its anywhere near my grasp it is yours ohyeahnow i do not got fancy cars or diamond rings lord knows i will if i make it with this singing thing hold on have faith in me cause anything i have is yours baby girl i know you want to roll a lexus a lexus with a mansion down in texas it is more like apartment 8 cellular is prepaid but baby it is all okay i can not do all the things i want to do but i can love you and i can stay true i will give you my last dime spend all my time it is yours whatever is mine you can have anything you want now i do not have no ls to drive but i am a man with a whole lot of plans and a lot of love inside just believe and pray hold on to me and say stay i can not handle you leaving me just dream dream dream with jaheim i will work overtime anytime just to give you peace of mind please just believe everything and anything all of me babybabybabybaby baby you can have anything you want anything you want anything you need anything i have baby girl just ask anything you want anything you need,2002.0,273
5,Nelly Featuring Kelly Rowland,Dilemma, i love you and i need you nelly i love you i do need you no matter what i do woo all i think about is you even when i am with my boo boy you know i am crazy over you no matter what i do all i think about is you even when i am with my boo you know i am crazy over you i met this chick and she just moved right up the block from me and uh she got the hots for me the finest thing my hood done seen but oh no oh no she got a man and a son though but that is okay cause i wait for my cue and just listen play my position like a shortstop pick up erything mami hitting and in no time i plan to make this one here mine and that is for sure because i i never been the type to break up a happy home but uh there is something bout baby girl i just can not leave alone so tell me ma what is it going to be she said you do not know what you mean to me no matter what i do woo all i think about is you uh huh even when i am with my boo boy you know i am crazy over you no matter what i do all i think about is you even when i am with my boo you know i am crazy over you i see a lot and you look and i never say a word i know how niggas start acting tripping out here about they girls and there is no way nelly gon fight over no dame as you can see but i i like your steez your style your whole demeanor the way you come through and holla and swoop me in his twoseater now that is gangster and i got special ways to thank ya do not you forget it but uh it are not that easy for you to pack and leave him but uh you and dirty got ties for different reasons i respect that and right before i turn to leave she said she said you do not know what you mean to me no matter what i do woo all i think about is you uh huh even when i am with my boo boy you know i am crazy over you no matter what i do all i think about is you even when i am with my boo you know i am crazy over you sing it for me k i love you word and i need you nelly i love you i do come on girl and it is more than you will ever know boy it is for sure you can always count on my love forever more yeah yeah east coast i know you shaking right down south i know you bouncing right west coast i know you walking right cause you do not know what you mean to me midwest i see you swinging right no matter what i do all i think about is you even when i am with my boo boy you know i am crazy over you no matter what i do all i think about is you even when i am with my boo you know i am crazy over you east coast i know you shaking right down south i know you bouncing right west coast i know you walking right cause you do not know what you mean to me midwest i see you swinging right east coast you still shaking right down south i know you bouncing right west coast i know you walking right cause you do not know what you mean to me midwest i see you swinging right no matter what i do woo all i think about is you uh huh even when i am with my boo boy you know i am crazy over you no matter what i do all i think about is you even when i am with my boo boy you know i am crazy over you no matter what i do all i think about is you even when i am with my boo boy you know i am crazy over you east coast i know you shaking right down south i know you bouncing right west coast i know you walking right cause you do not know what you mean to me midwest i see you swinging right east coast you still shaking right down south i see you bouncing right west coast i know you walking right cause you do not know what you mean to me midwest i see you swinging right,2002.0,796
7,Mr. Cheeks,"Lights, Camera, Action!", i am talkin to these motherfuckersyeahokyeahooh ooh this one is a vivrant thing lb gi one fam oh my bounce with me now bink dawg hot i am talkin this gone be somethin now mr cheeks whoo i am talkin lights camera action ohh kay get down now bink dawg now one shot deal shit yeahok now i am in the spot where i want to be money spent niggas gettin bent chicks in front of me just the way i like it hunnies turnin somethin i got a seat up in the cut and i am burnin somethin booties dancin round a nigga and i am killin one killin one from the top of the stash and i am feelin buns plus i am do low at a table i am fuckin with this chick with a fat batty and the ring up in her navel dances around she struts with the fuck walk touches her toes and she can make her butt talk do whatcha going to do i are not mad at chu know a lot of haters when they seen and as bad as you you is a real bad girl a nigga need that sippin on ya henny askin where the weed at lemme put you onto somethin you fuckin with a big nigga no frontin uh shorty turn it around lemme see somethin fuckin with me for real it is gone be somethinyeahi am talkin lights camera action had me singin i am sorry ms jackson i love the way it is goin down she got the thong on she started bouncin more once she heard the thong song them high heels got them calves lookin right too shorty come live with me for the night true shit i am only tryin to holla it is only right you holla back so where you headed lemme follow that now word up i got plans for you it is more than my tongue and my hands will do the way you move to the music it make a nigga want to take you up outta here go somewhere loose it and your physique is off the chain it is going to be hard gettin you off the brain i mean we could take a drive in the x5 the way you boogie on the floor know that sex slide you is a dime piece i am tryin to see somethin suck your t is and in your front and lemme squeeze somethin i got a few hours left notil a nigga jet and i am hopin that it is you that a nigga get hear them callin out ya name i geuss ya showtime getcha money shorty lemme see you pole climb toes out back showin off the tattoo fuck the dumb shit a nigga had to snatch youu lookin as good as ya smell pay your own bills ask officer because your pushin your own wheelsyeahi am feelin you tryin to see the deal with you what is goin on later on can i chill with you we can do anything that you want to do you know the way a nigga feel all i want is you get ya dance on love the way you make the moves with no pants on let is ride bounce to ya man is song let is get to goin it is goin on before the chance gone next stop yo turn with me now do my thing hey swing with me now bink dawg now one shot deal shit keep it tight and this is how we steal shit it is that real shit it is that new shit how we come thru shit mr sexy keep shit hot with us let is go get it niggas tryed to come get us back niggas know my fuckin style got the booties in the back hey meanwhile we just suckin and smokin and drinkin hey man what the fuck is they thinkin aww shit we is high tonite well my nigga said let is ride tonite we out in miami we in new york twist the cap pop the corkyeahshorty lemme see somethin fuckin with me and my teamyeahit is gone be somethin i am talkin bout lights camera action had a nigga singin i am sorry ms jacksonyeahoh haha sorry ms jackson shorty actin like she ready for some action,2002.0,734
8,N.O.R.E.,Nothin', oh millitainment oh millitainment oh millitainment come on millitainment oh millitainment this one is the hot one millitainment aiyyo millitainment homeboy i came to party ohh yo girl was lookin at me ohh she is a haggler naw i am not taggin her ohh but you do not want them boys to come over and start askin ya ohh what you want to do nigga nothingg what you trying to do nigga nothingg what you want to do nigga nothingg what you trying to do yo yo yo yo nor papi say what that nigga is the man with his manager chris and the label that jams still flossin showin your rocks are not you dudes heard grimey man we stoled your watch it goes indian style knees bent in dashiki strapped with the veritek baby tec bt true she at the bar lookin good in the brown dress ordered six shots and them things are not around yet persona all thugged out loud and clear sayin fuck the straight henny just grab me a beer you see i am reppin now and my mami is i got a weapon now shoot at them clowns at they feet they high steppin now left that wack label cause i do not like pricks i am like a hammer that you hold on your hand i make hits at the white boy club while i am buyin the bar they like hey now you are an all star it go homeboy i came to party ohh yo girl was lookin at me ohh she is a haggler naw i am not taggin her ohh but you do not want them boys to come over and start askin ya ohh what you want to do nigga nothingg what you trying to do nigga nothingg what you want to do nigga nothingg what you trying to do nothingg i spit mack millimeter rhymes kill a liter in line my nigga peter got a heater of mines niggas still lyin in they wack ass bars only time they seen jail when they watchin oz i am in the club pissy drunk like ahhdadidaa and mami took it proper like dadadidaa adios kill your soul then we body your ghost they call me gordo i sip the champagne that is importo playin capicu man you are not nappy too i like when chocha be nappy too i treat life like a fast car lower my speed i try and chill and sell more records than creed been a hustler what what way before melvin flynt a criminal do not leave no prints these dudes gave me a brick and they are not seen me since caught up wit em had them dudes straight hoppin the fence it go homeboy i came to party ohh yo girl was lookin at me ohh she is a haggler naw i am not taggin her ohh but you do not want them boys to come over and start askin ya ohh what you want to do nigga nothingg what you trying to do nigga nothingg what you want to do nigga nothingg what you trying to do nothingg la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh yo yo yo yo oops i done done it again i got another one i keep it hid in my pocket i got another one fast and furious dunn dunn dunn tudunn still be in miami and jet skiing in the ocean where the sharks be at just odn adebesi want a brick you pay double easy i got them things that will move easy and i told the lawyer i sold blow to old goya i am half spanish you see i cook coke for goya i am half spanish all day arroz con polla recognize when i am runnin the game before me chickens was not even messin with brain because me now you started gettin head on the westside highway so recognize my nigga you did it my way ice rockin brick choppin and gun shoppin i did it all beat cases without cochran homeboy i came to party ohh yo girl was lookin at me ohh she is a haggler naw i am not taggin her ohh but you do not want them boys to come over and start askin ya ohh what you want to do nigga nothingg what you trying to do nigga nothingg what you want to do nigga nothingg what you trying to do nothingg la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh ,2002.0,901
9,Faith Evans,I Love You, my heart belongs to you so what could i do to make you feel i am down with you see me hanging around but you do not know how you make me feel for you and each and every day i try to make some sense of this what you mean to me i know it could be serious each and every night i dream about just holding you loving you like this what is a girl supposed to do i love you i love you i want you i want you you are the one that i live for and i can not take it anymore anymore i love you i love you i need you and i need you what can i do to make you see you are the only one for me first time i saw your face my heart just erased all the guys i knew before you walked into my life i was the type to never want for nothinggg each and every day i try to make some sense of this what you mean to me i know it could be serious each and every night i dream about just holding you loving you like this what is a girl supposed to do i love you i love you i want you i need you you are the one that i live for and i can not take it anymore i love you i love you i need you need you what can i do to make you see you are the only one for me i love you i want you i need you in my life can not you see what you mean to me baby come hold me tight i miss you want to kiss you every time i see your face baby i will be waiting for you each and every day i love you oh i want you you are the one that i live for and i can not take it anymore baby you know that i love you i love you i need you what can i do to make you see do to make you see you are the only one for me oh yeah you are the only one for me only one and i know it is meant to be and i know we are meant to be what can i do to make you see my love will carry on listen to my heart so listen to my heart and know and know you will find out where my love will go love will go the future lies between us both oh babe i love you so i love you i want you and you know my heart belongs to you boy you are the one that i live for and i can not take it anymore i love you baby i love you i need you baby i need you what can i do to make you see you are the only one for me i love you you are the one for me i want you it was meant to be you are the one that i live for and i can not take it anymore i love you i need you what can i do to make you see you are the only one for me i love you baby i love you i want you baby i need you ,2002.0,571
10,Michael Jackson,Butterflies, butterflies da de da da de de da da de da da de de da da butterflies da de de da da de da ohh fly da de de da de da dum la de de de da la de da la de de de da la dum la dum la dum all you got to do is walk away and pass me by do not acknowledge my smile when i try to say hello to you yeah and all you got to do is not answer my calls when i am tryna get through keep me wondering why when all i can do is sigh i just want to touch you i just want to touch and kiss and i wish that i could be with you tonight and i wish i could be with you girl you give me because you give me butterflies inside inside and i all i got to say is that i must be dreaming can not be real you are not here with me still i can feel you near to me i caress you let you taste us just so blissful listen i would give you anything baby ah just make my dreams come true oh baby you give me butterflies i just want to touch and kiss and i wish that i could be with you tonight you tonight because you give me butterflies inside inside and i i just want to touch and kiss and i wish that i could be with you tonight you give me ah because you give me butterflies inside inside and i if you would take my hand baby i would show you guide you to the light babe if you would be my love baby i will love you love you notil the end of time i just want to touch and kiss and i wish that i could be with you tonight tonight girl you give me because you give me butterflies inside inside and i i just want to touch and kiss i want to i want to be with you and i wish that i could be with you tonight ah you give me butterflies inside inside and i i just want to touch and kiss and i wish that i could be with you tonight ah because you give me butterflies inside inside and i i just want to touch and kiss i want to i want to be with you girl and i wish that i could be with you tonight i want to be with you because you give me butterflies inside inside and i,2002.0,437
